return_frequency,return_to_order_ratio,recent_return_count,return_value_ratio,avg_order_value,avg_return_value,account_age_days,order_frequency,days_since_purchase,historical_return_rate,category_return_rate,category_baseline_return_rate,verified_abuse_history,baseline_deviation,drift_score,return_burst_flag,high_value_concentration,abnormal_timing_flag,cross_category_flag,account_age_risk,recent_order_frequency_change,refund_amount_last_30_days,payment_amount,refund_amount,payment_count_7d,payment_count_30d,refund_count_7d,refund_count_30d,payment_frequency,refund_frequency,transaction_velocity,historical_refund_rate,current_refund_rate,refund_to_payment_ratio,avg_historical_refund_amount,time_between_payment_and_refund,days_since_payment,is_abuse
0.0,0.0,0,1.6,234.92,0.0,120,3.145,28,0.0,0.0,0.1,0,0.0,10.0,0,0.0,1,0,0,1.393,0.0,375.94,375.94,1,5,0,0,3.25,0.0,0.75,0.0,0.0,0.1231,0.0,28,28,0
0.333,0.0769,1,1.292,234.92,375.94,124,3.145,5,0.0769,0.25,0.1,0,2.564,61.3,0,1.0,0,0,0,1.393,375.94,303.44,303.44,1,4,1,1,3.15,0.33,0.73,0.0769,0.25,0.2225,375.94,5,5,0
0.0,0.0,0,1.464,101.21,0.0,28,2.308,25,0.0,0.0,0.08,0,0.0,10.0,0,0.0,0,0,1,0.339,0.0,148.15,148.15,0,2,0,0,2.14,0.0,0.49,0.0,0.0,0.7319,0.0,25,25,1
0.333,0.1667,0,1.488,185.72,148.15,61,2.308,2,0.1667,0.0,0.2,0,1.667,43.3,0,0.0,1,0,0,0.339,0.0,276.39,276.39,3,4,0,0,2.95,0.33,0.68,0.1667,0.0,0.381,148.15,2,2,1
0.667,0.2857,1,1.055,187.43,212.27,86,2.308,22,0.2857,0.3333,0.2,0,3.81,86.2,0,0.5,0,0,0,0.339,276.39,197.69,197.69,0,3,0,1,2.44,0.67,0.56,0.2857,0.3333,0.4743,212.27,22,22,1
0.0,0.0,0,1.0,321.17,0.0,96,0.397,1,0.0,0.0,0.2,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,321.17,321.17,1,1,0,0,0.31,0.0,0.07,0.0,0.0,1.0,0.0,1,1,0
0.0,0.3333,0,0.897,234.04,321.17,272,0.397,24,0.3333,0.0,0.07,0,-3.333,0.0,0,1.0,0,0,0,0.0,0.0,209.9,209.9,0,1,0,0,0.33,0.0,0.08,0.3333,0.0,0.7564,321.17,24,24,0
0.0,0.0,0,0.933,216.33,0.0,298,0.574,19,0.0,0.0,0.2,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,201.91,201.91,0,1,0,0,0.6,0.0,0.14,0.0,0.0,0.1556,0.0,19,19,0
0.0,0.1111,0,1.862,229.53,201.91,532,0.574,24,0.1111,0.0,0.12,0,-1.111,0.0,0,1.0,0,0,0,0.0,0.0,427.37,427.37,0,1,0,0,0.51,0.0,0.12,0.1111,0.0,0.3046,201.91,24,24,0
0.0,0.0,0,1.0,300.16,0.0,113,0.14,5,0.0,0.0,0.08,1,0.0,10.0,0,0.0,0,0,0,0.0,0.0,300.16,300.16,1,1,0,0,0.27,0.0,0.06,0.0,0.0,1.0,0.0,5,5,1
0.0,0.5,0,1.096,331.96,300.16,410,0.14,11,0.5,0.5,0.08,1,-5.0,0.0,0,1.0,0,0,0,0.0,0.0,363.77,363.77,0,1,0,0,0.15,0.0,0.03,0.5,0.0,1.0,300.16,11,11,1
0.0,0.0,0,1.653,196.3,0.0,463,0.242,3,0.0,0.0,0.1,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,324.46,324.46,1,1,0,0,0.19,0.0,0.04,0.0,0.0,0.551,0.0,3,3,0
0.0,0.0,0,0.378,103.56,0.0,515,0.104,18,0.0,0.0,0.12,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,39.15,39.15,0,1,0,0,0.12,0.0,0.03,0.0,0.0,0.189,0.0,18,18,1
0.0,0.3333,0,0.916,99.4,39.15,741,0.104,8,0.3333,0.0,0.03,0,-3.333,0.0,0,0.0,0,0,0,0.0,0.0,91.09,91.09,0,1,0,0,0.12,0.0,0.03,0.3333,0.0,0.4368,39.15,8,8,1
0.0,0.0,0,0.283,136.36,0.0,315,0.463,20,0.0,0.0,0.12,1,0.0,10.0,0,0.0,0,0,0,0.0,0.0,38.59,38.59,0,2,0,0,0.48,0.0,0.11,0.0,0.0,0.0566,0.0,20,20,1
0.333,0.2,1,0.849,136.36,38.59,329,0.463,24,0.2,0.0,0.2,1,1.333,36.7,0,0.0,0,0,0,0.0,38.59,115.79,115.79,0,1,0,1,0.46,0.33,0.11,0.2,1.0,0.2264,38.59,24,24,1
0.667,0.2857,0,1.741,204.85,77.19,394,0.463,9,0.2857,0.25,0.12,1,3.81,86.2,0,0.0,1,0,0,0.0,0.0,356.61,356.61,0,1,0,0,0.53,0.67,0.12,0.2857,0.0,0.3563,77.19,9,9,1
0.0,0.3,0,0.152,206.68,170.33,596,0.463,17,0.3,0.3333,0.2,1,-3.0,0.0,0,0.333,0,0,0,0.0,0.0,31.36,31.36,1,2,0,0,0.5,0.0,0.12,0.3,0.0,0.2624,170.33,17,17,1
0.333,0.3636,1,2.169,200.54,135.59,617,0.463,22,0.3636,0.6667,0.2,1,-0.303,3.9,0,0.25,0,0,0,0.0,31.36,435.01,435.01,1,2,0,1,0.53,0.33,0.12,0.3636,0.5,0.4431,135.59,22,22,1
0.667,0.4545,2,0.694,200.54,195.47,622,0.463,9,0.4545,0.4,0.12,1,2.121,52.4,0,0.4,0,0,0,0.0,466.37,139.12,139.12,0,2,1,2,0.53,0.67,0.12,0.4545,1.0,0.5061,195.47,9,9,1
0.0,0.5,0,0.894,198.63,186.08,734,0.463,29,0.5,0.0,0.07,1,-5.0,0.0,0,0.333,0,0,0,0.0,0.0,177.57,177.57,0,1,0,0,0.49,0.0,0.11,0.5,0.0,0.5429,186.08,29,29,1
0.0,0.0,0,1.279,287.4,0.0,80,0.542,13,0.0,0.0,0.07,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,367.61,367.61,0,1,0,0,0.75,0.0,0.17,0.0,0.0,0.6395,0.0,13,13,0
0.0,0.1111,0,0.8,317.83,367.61,372,0.542,14,0.1111,0.0,0.2,0,-1.111,0.0,0,1.0,0,0,0,0.0,0.0,254.35,254.35,0,2,0,0,0.73,0.0,0.17,0.1111,0.0,0.2174,367.61,14,14,0
0.0,0.0,0,0.099,351.79,0.0,194,0.918,27,0.0,0.0,0.12,0,0.0,10.0,0,0.0,0,0,0,2.514,0.0,34.89,34.89,0,1,0,0,0.62,0.0,0.14,0.0,0.0,0.0248,0.0,27,27,0
0.333,0.2,0,1.155,366.0,34.89,225,0.918,10,0.2,0.0,0.2,0,1.333,36.7,0,0.0,0,0,0,2.514,0.0,422.83,422.83,0,1,0,0,0.67,0.33,0.15,0.2,0.0,0.2501,34.89,10,10,0
0.667,0.3333,1,0.253,318.43,228.86,236,0.918,1,0.3333,0.5,0.2,0,3.333,76.7,0,0.5,0,0,0,2.514,422.83,80.59,80.59,1,2,0,1,0.76,0.67,0.18,0.3333,0.5,0.2818,228.86,1,1,0
0.0,0.0,0,1.233,355.97,0.0,188,0.886,8,0.0,0.0,0.1,0,0.0,10.0,0,0.0,0,0,0,1.138,0.0,438.91,438.91,0,1,0,0,0.48,0.0,0.11,0.0,0.0,0.411,0.0,8,8,0
0.333,0.25,1,1.254,388.89,438.91,195,0.886,5,0.25,0.3333,0.1,0,0.833,26.7,0,1.0,0,0,0,1.138,438.91,487.66,487.66,1,2,1,1,0.62,0.33,0.14,0.25,0.5,0.5956,438.91,5,5,0
0.0,0.1818,0,0.354,319.37,463.28,373,0.886,16,0.1818,0.0,0.12,0,-1.818,0.0,0,1.0,0,0,0,1.138,0.0,113.18,113.18,0,3,0,0,0.88,0.0,0.2,0.1818,0.0,0.296,463.28,16,16,0
0.0,0.0,0,0.477,251.1,0.0,432,0.7,6,0.0,0.0,0.12,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,119.74,119.74,1,1,0,0,0.62,0.0,0.14,0.0,0.0,0.053,0.0,6,6,0
0.0,0.0,0,1.303,332.23,0.0,22,3.261,6,0.0,0.0,0.12,0,0.0,10.0,0,0.0,0,0,1,0.517,0.0,433.05,433.05,1,3,0,0,4.09,0.0,0.94,0.0,0.0,0.4345,0.0,6,6,0
0.0,0.0,0,1.508,230.31,0.0,332,0.827,26,0.0,0.0,0.03,0,0.0,10.0,0,0.0,0,0,0,2.733,0.0,347.26,347.26,0,1,0,0,0.63,0.0,0.15,0.0,0.0,0.2154,0.0,26,26,0
0.0,0.0,0,1.0,95.83,0.0,277,0.299,27,0.0,0.0,0.03,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,95.83,95.83,0,1,0,0,0.11,0.0,0.03,0.0,0.0,1.0,0.0,27,27,0
0.0,0.0,0,0.927,364.92,0.0,72,1.034,24,0.0,0.0,0.1,0,0.0,10.0,0,0.0,0,0,0,2.103,0.0,338.13,338.13,1,2,0,0,0.83,0.0,0.19,0.0,0.0,0.4633,0.0,24,24,0
0.333,0.25,0,1.171,405.92,338.13,153,1.034,9,0.25,0.3333,0.1,0,0.833,26.7,0,1.0,0,0,0,2.103,0.0,475.53,475.53,0,1,0,0,0.78,0.33,0.18,0.25,0.0,0.5011,338.13,9,9,0
0.0,0.2222,0,1.21,328.75,406.83,286,1.034,15,0.2222,0.0,0.2,0,-2.222,0.0,0,1.0,0,0,0,2.103,0.0,397.75,397.75,1,3,0,0,0.94,0.0,0.22,0.2222,0.0,0.4094,406.83,15,15,0
0.0,0.2308,0,1.087,310.39,403.8,377,1.034,14,0.2308,0.2857,0.1,0,-2.308,0.0,0,1.0,1,0,0,2.103,0.0,337.31,337.31,0,2,0,0,1.03,0.0,0.24,0.2308,0.0,0.3838,403.8,14,14,0
