return_frequency,return_to_order_ratio,recent_return_count,return_value_ratio,avg_order_value,avg_return_value,account_age_days,order_frequency,days_since_purchase,historical_return_rate,category_return_rate,category_baseline_return_rate,verified_abuse_history,baseline_deviation,drift_score,return_burst_flag,high_value_concentration,abnormal_timing_flag,cross_category_flag,account_age_risk,recent_order_frequency_change,refund_amount_last_30_days,payment_amount,refund_amount,payment_count_7d,payment_count_30d,refund_count_7d,refund_count_30d,payment_frequency,refund_frequency,transaction_velocity,historical_refund_rate,current_refund_rate,refund_to_payment_ratio,avg_historical_refund_amount,time_between_payment_and_refund,days_since_payment,is_abuse
0.0,0.0,0,1.41,240.75,0.0,17,17.647,7,0.0,0.0,0.1,0,0.0,10.0,0,0.0,0,0,1,1.0,0.0,339.55,339.55,6,10,0,0,17.65,0.0,4.08,0.0,0.0,0.141,0.0,7,7,0
0.0,0.5,0,1.612,170.74,66.32,201,0.095,13,0.5,0.0,0.1,0,-5.0,0.0,0,0.0,0,0,0,0.0,0.0,275.15,275.15,0,1,0,0,0.3,0.0,0.07,0.5,0.0,1.0,66.32,13,13,1
0.0,0.0,0,0.156,253.84,0.0,85,1.221,13,0.0,0.0,0.12,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,39.57,39.57,0,3,0,0,2.12,0.0,0.49,0.0,0.0,0.026,0.0,13,13,0
0.333,0.2,1,1.334,360.82,498.62,29,2.222,21,0.2,0.0,0.12,0,1.333,36.7,0,1.0,0,0,1,0.4,498.62,481.25,481.25,2,5,0,1,5.17,0.33,1.19,0.2,0.2,0.5431,498.62,21,21,1
0.0,0.0,0,0.926,283.21,0.0,432,0.201,8,0.0,0.0,0.03,1,0.0,10.0,0,0.0,0,0,0,0.0,0.0,262.12,262.12,0,1,0,0,0.21,0.0,0.05,0.0,0.0,0.3085,0.0,8,8,1
0.667,0.1667,1,1.665,249.06,277.28,201,1.538,24,0.1667,0.0,0.1,0,5.0,100.0,0,1.0,0,0,0,0.0,333.06,414.68,414.68,1,4,0,1,1.79,0.67,0.41,0.1667,0.25,0.3243,277.28,24,24,0
0.0,0.1667,0,0.388,175.42,124.0,361,0.638,27,0.1667,0.0,0.07,0,-1.667,0.0,0,0.0,0,0,0,1.637,0.0,68.02,68.02,0,1,0,0,0.5,0.0,0.12,0.1667,0.0,0.1824,124.0,27,27,0
0.0,0.0,0,0.296,265.5,0.0,417,0.393,16,0.0,0.0,0.2,0,0.0,10.0,0,0.0,1,0,0,0.0,0.0,78.65,78.65,0,1,0,0,0.5,0.0,0.12,0.0,0.0,0.0423,0.0,16,16,0
0.0,0.0,0,2.062,204.0,0.0,334,0.774,3,0.0,0.0,0.2,0,0.0,10.0,0,0.0,0,0,0,1.318,0.0,420.56,420.56,1,1,0,0,0.81,0.0,0.19,0.0,0.0,0.2291,0.0,3,3,0
0.0,0.0,0,0.753,386.39,0.0,184,0.295,10,0.0,0.0,0.1,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,291.07,291.07,0,1,0,0,0.33,0.0,0.08,0.0,0.0,0.3767,0.0,10,10,1
0.0,0.0,0,1.134,291.97,0.0,23,9.706,7,0.0,0.0,0.12,0,0.0,10.0,0,0.0,0,0,1,1.333,0.0,330.97,330.97,5,9,0,0,11.74,0.0,2.71,0.0,0.0,0.126,0.0,7,7,0
0.0,0.0,0,1.0,425.73,0.0,5,3.235,1,0.0,0.0,0.12,0,0.0,10.0,0,0.0,0,0,1,0.24,0.0,425.73,425.73,1,1,0,0,6.0,0.0,1.39,0.0,0.0,1.0,0.0,1,1,0
1.333,0.4444,2,0.963,310.06,326.54,72,2.727,30,0.4444,0.0,0.05,0,8.889,100.0,0,0.75,1,0,0,0.692,659.62,298.7,298.7,1,5,0,2,3.75,1.33,0.87,0.4444,0.4,0.5751,326.54,30,30,1
1.333,0.3636,1,0.37,281.91,314.47,272,0.927,14,0.3636,0.3333,0.08,0,9.697,100.0,0,0.75,0,0,0,0.0,385.73,104.34,104.34,0,2,0,1,1.21,1.33,0.28,0.3636,0.5,0.4393,314.47,14,14,1
0.0,0.0,0,0.823,344.88,0.0,332,0.631,6,0.0,0.0,0.2,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,283.68,283.68,1,1,0,0,0.54,0.0,0.13,0.0,0.0,0.1371,0.0,6,6,0
0.0,0.0,0,1.0,107.88,0.0,133,0.305,11,0.0,0.0,0.03,1,0.0,10.0,0,0.0,0,0,0,0.0,0.0,107.88,107.88,0,1,0,0,0.23,0.0,0.05,0.0,0.0,1.0,0.0,11,11,1
0.333,0.4286,0,0.463,245.83,237.02,378,0.927,23,0.4286,0.0,0.07,0,-0.952,0.0,0,0.5,0,0,0,0.0,0.0,113.94,113.94,0,1,0,0,1.11,0.33,0.26,0.4286,0.0,0.4463,237.02,23,23,1
0.0,0.0,0,1.0,348.72,0.0,32,0.305,4,0.0,0.0,0.1,0,0.0,10.0,0,0.0,0,0,0,3.61,0.0,348.72,348.72,1,1,0,0,0.94,0.0,0.22,0.0,0.0,1.0,0.0,4,4,0
0.333,0.2,1,1.371,114.0,130.1,44,2.143,28,0.2,0.3333,0.2,0,1.333,36.7,0,0.0,0,0,0,1.55,130.1,156.28,156.28,0,1,0,1,3.41,0.33,0.79,0.2,1.0,0.5024,130.1,28,28,0
0.0,0.0,0,0.819,373.38,0.0,508,0.443,30,0.0,0.0,0.2,0,0.0,10.0,0,0.0,0,0,0,0.0,0.0,305.8,305.8,0,1,0,0,0.47,0.0,0.11,0.0,0.0,0.1024,0.0,30,30,0
0.333,0.5556,0,0.217,215.25,232.77,556,0.53,6,0.5556,0.3333,0.03,0,-2.222,0.0,0,0.4,1,0,0,4.239,0.0,46.72,46.72,1,1,0,0,0.49,0.33,0.11,0.5556,0.0,0.6249,232.77,6,6,1
